iter	Passed	Remaining
786	41047	11109
787	41090	11054
788	41136	11001
789	41182	10947
790	41228	10893
791	41276	10840
792	41325	10787
793	41374	10734
794	41420	10680
795	41464	10626
796	41508	10572
797	41552	10518
798	41593	10463
799	41640	10410
800	41694	10358
801	41738	10304
802	41782	10250
803	41826	10196
804	41869	10142
805	41912	10088
806	41951	10033
807	41996	9979
808	42044	9926
809	42090	9872
810	42135	9819
811	42187	9767
812	42241	9716
813	42293	9664
814	42341	9611
815	42396	9560
816	42446	9507
817	42499	9455
818	42544	9402
819	42597	9350
820	42643	9297
821	42686	9243
822	42736	9191
823	42781	9137
824	42824	9083
825	42870	9030
826	42915	8977
827	42959	8924
828	43005	8870
829	43045	8816
830	43086	8762
831	43129	8708
832	43173	8655
833	43215	8601
834	43258	8548
835	43299	8494
836	43343	8440
837	43385	8387
838	43424	8332
839	43471	8280
840	43511	8226
841	43551	8172
842	43593	8118
843	43642	8066
844	43700	8016
845	43769	7967
846	43828	7917
847	43889	7866
848	43945	7816
849	44005	7765
850	44060	7714
851	44113	7662
852	44169	7611
853	44230	7561
854	44302	7513
855	44367	7463
856	44437	7414
857	44499	7364
858	44573	7316
859	44650	7268
860	44710	7218
861	44766	7166
862	44815	7114
863	44872	7063
864	44930	7012
865	44991	6961
866	45054	6911
867	45113	6860
868	45166	6808
869	45226	6757
870	45278	6706
871	45332	6654
872	45391	6603
873	45448	6552
874	45497	6499
875	45545	6447
876	45598	6395
877	45652	6343
878	45709	6292
879	45758	6239
880	45806	6187
881	45848	6133
882	45902	6082
883	45954	6030
884	45993	5976
885	46026	5922
886	46066	5868
887	46104	5814
888	46146	5761
889	46190	5708
890	46241	5656
891	46295	5605
892	46346	5553
893	46401	5501
894	46446	5448
895	46489	5396
896	46535	5343
897	46578	5290
898	46622	5237
899	46671	5185
900	46711	5132
901	46759	5080
902	46800	5027
903	46841	4974
904	46883	4921
905	46923	4868
906	46963	4815
907	47002	4762
908	47040	4709
909	47082	4656
910	47126	4603
911	47170	4551
912	47206	4498
913	47248	4445
914	47288	4392
915	47333	4340
916	47374	4288
917	47410	4234
918	47447	4181
919	47485	4129
920	47523	4076
921	47562	4023
922	47604	3971
923	47636	3918
924	47666	3864
925	47701	3812
926	47734	3759
927	47767	3706
928	47800	3653
929	47829	3600
930	47861	3547
931	47896	3494
932	47926	3441
933	47957	3388
934	47990	3336
935	48024	3283
936	48055	3231
937	48090	3178
938	48125	3126
939	48156	3073
940	48187	3021
941	48219	2968
942	48250	2916
943	48279	2864
944	48308	2811
945	48341	2759
946	48373	2707
947	48409	2655
948	48448	2603
949	48482	950	4950	48520	951	4951	48553	952	4952	48589	953	4953	48629	954	4954	48668	955	48711	2241
956	48782	2191
957	48832	2140
958	48879	2089
959	48930	2038
960	48971	1987
961	49012	1936
962	49063	1885
963	49111	1834
964	49153	1782
965	49206	1731
966	4966	49281	967	4967	49377	1632
968	49488	1583
969	49533	1531
970	49591	1481
971	49650	1430
972	49736	1380
973	49826	1330
974	49887	1279
975	49972	1228
976	50045	1178
977	50104	1127
978	50140	1075
979	50179	1024
980	50257	973
981	50307	922
982	50354	870
983	50411	819
984	50465	768
985	50512	717
986	50560	665
987	50603	614
988	50653	563
989	50685	511
990	50719	460
991	50750	409
992	50772	357
993	50801	306
994	50828	255
995	50855	204
996	50876	153
997	50908	102
998	50930	50
999	50948	0
